no,question,a,b,c,d,answer
149,"Log monitoring tools performing behavioral analysis have alerted several suspicious loginson a Linux server occurring during non-business hours. After further examination of all loginactivities, it is noticed that none of the logins have occurred during typical work hours. A Linuxadministrator who is investigating this problem realizes the system time on the Linux server is wrongby more than twelve hours. What protocol used on Linux servers to synchronize the time has stoppedworking?",Time Keeper,NTP,PPP,OSPP,B
150,Which command line switch would be used in NMAP to perform operating systemdetection?,-OS,-sO,-sP,-O,D
151,Which Intrusion Detection System is best applicable for large environments where criticalassets on the network need extra security and is ideal for observing sensitive network segments?,Network-based intrusion detection system (NIDS),Host-based intrusion detection system (HIDS),Firewalls,Honeypots,A
152,Which tool can be used to silently copy files from USB devices?,USB Grabber,USB Dumper,USB Sniffer,USB Snoopy,B
153,The following is part of a log file taken from the machine on the network with the IP addressof192.168.1.106: What type of activity has been logged?,Port scan targeting 192.168.1.103,Teardrop attack targeting 192.168.1.106,Denial of service attack targeting 192.168.1.103,Port scan targeting 192.168.1.106,D
154,How does a denial-of-service attack work?,A hacker prevents a legitimate user (or group of users) from accessing a service,"A hacker uses every character, word, or letter he or she can think of to defeat authentication","A hacker tries to decipher a password by using a system, which subsequently crashes the network",A hacker attempts to imitate a legitimate user by confusing a computer or even another person,A
155,Which type of security document is written with specific step-by-step details?,Process,Procedure,Policy,Paradigm,B
156,"On performing a risk assessment, you need to determine the potential impacts when someof the critical business process of the company interrupt its service. What is the name of the processby which you can determine those critical business?",Risk Mitigation,Emergency Plan Response (EPR),Disaster Recovery Planning (DRP),Business Impact Analysis (BIA),D
157,Why would an attacker want to perform a scan on port 137?,To discover proxy servers on a network,To disrupt the NetBIOS SMB service on the target host,To check for file and print sharing on Windows systems,To discover information about a target host using NBTSTAT,D
158,Which of the following is an example of two factor authentication?,PIN Number and Birth Date,Username and Password,Digital Certificate and Hardware Token,Fingerprint and Smartcard ID,D
159,Which of the following is the BEST way to defend against network sniffing?,Using encryption protocols to secure network communications,Register all machines MAC Address in a Centralized Database,Restrict Physical Access to Server Rooms hosting Critical Servers,Use Static IP Address,A
160,"Bob finished a C programming course and created a small C application to monitor thenetwork traffic and produce alerts when any origin sends ""many"" IP packets, based on the averagenumber of packets sent by all origins and using some thresholds.In concept, the solution developed by Bob is actually:",Just a network monitoring tool,A signature-based IDS,A hybrid IDS,A behavior-based IDS,A
161,An NMAP scan of a server shows port 25 is open. What risk could this pose?,Open printer sharing,Web portal data leak,Clear text authentication,Active mail relay,D
162,Which of the following problems can be solved by using Wireshark?,Tracking version changes of source code,Checking creation dates on all webpages on a server,Resetting the administrator password on multiple systems,Troubleshooting communication resets between two systems,D
163,What kind of risk will remain even if all theoretically possible safety measures would beapplied?,Residual risk,Inherent risk,Impact risk,Deferred risk,A
164,"Peter extracts the SIDs list from Windows 2000 Server machine using the hacking tool""SIDExtractor"". Here is the output of the SIDs: From the above list identify the user account with System Administrator privileges.",John,Rebecca,Sheela,ShawnE. SomiaF. ChangG. Micah,F
165,"When a normal TCP connection starts, a destination host receives a SYN (synchronize/start)packet from a source host and sends back a SYN/ACK (synchronize acknowledge). The destinationhost must then hear an ACK (acknowledge) of the SYN/ACK before the connection is established. Thisis referred to as the ""TCP three-way handshake."" While waiting for the ACK to the SYN ACK, aconnection queue of finite size on the destination host keeps track of connections waiting to becompleted. This queue typically empties quickly since the ACK is expected to arrive a few millisecondsafter the SYN ACK.How would an attacker exploit this design by launching TCP SYN attack?",Attacker generates TCP SYN packets with random destination addresses towards a victim host,Attacker floods TCP SYN packets with random source addresses towards a victim host,Attacker generates TCP ACK packets with random source addresses towards a victim host,Attacker generates TCP RST packets with random source addresses towards a victim host,B
166,An NMAP scan of a server shows port 69 is open. What risk could this pose?,Unauthenticated access,Weak SSL version,Cleartext login,Web portal data leak,A
167,Which of the following is the least-likely physical characteristic to be used in biometriccontrol that supports a large company?,Height and Weight,Voice,Fingerprints,Iris patterns,A
168,Which component of IPsec performs protocol-level functions that are required to encryptand decrypt the packets?,Internet Key Exchange (IKE),Oakley,IPsec Policy Agent,IPsec driver,A
169,Your company was hired by a small healthcare provider to perform a technical assessmenton the network.What is the best approach for discovering vulnerabilities on a Windows-based computer?,Use a scan tool like Nessus,Use the built-in Windows Update tool,Check MITRE.org for the latest list of CVE findings,Create a disk image of a clean Windows installation,A
170,Which mode of IPSec should you use to assure security and confidentiality of data withinthe same LAN?,ESP transport mode,AH permiscuous,ESP confidential,AH Tunnel mode,A
171,"Which of the following tools performs comprehensive tests against web servers, includingdangerous files and CGIs?",Nikto,Snort,John the Ripper,Dsniff,A
172,"In the context of password security, a simple dictionary attack involves loading a dictionaryfile (a text file full of dictionary words) into a cracking application such as L0phtCrack or John theRipper, and running it against user accounts located by the application. The larger the word and wordfragment selection, the more effective the dictionary attack is. The brute force method is the mostinclusive, although slow. It usually tries every possible letter and number combination in itsautomated exploration. If you would use both brute force and dictionary methods combinedtogether to have variation of words, what would you call such an attack?",Full Blown,Thorough,Hybrid,BruteDics,C
173,A company is using Windows Server 2003 for its Active Directory (AD). What is the mostefficient way to crack the passwords for the AD users?,Perform a dictionary attack.,Perform a brute force attack.,Perform an attack with a rainbow table.,Perform a hybrid attack.,C
174,"Initiating an attack against targeted businesses and organizations, threat actors compromisea carefully selected website by inserting an exploit resulting in malware infection. The attackers runexploits on well-known and trusted sites likely to be visited by their targeted victims. Aside fromcarefully choosing sites to compromise, these attacks are known to incorporate zero-day exploits thattarget unpatched vulnerabilities. Thus, the targeted entities are left with little or no defense againstthese exploits.What type of attack is outlined in the scenario?",Watering Hole Attack,Heartbleed Attack,Shellshock Attack,Spear Phising Attack,A
175,Nedved is an IT Security Manager of a bank in his country. One day. he found out that thereis a security breach to his company's email server based on analysis of a suspicious connection fromthe email server to an unknown IP Address.What is the first thing that Nedved needs to do before contacting the incident response team?,Leave it as it Is and contact the incident response te3m right away,Block the connection to the suspicious IP Address from the firewall,Disconnect the email server from the network,Migrate the connection to the backup email server,C
176,"A tester has been using the msadc.pl attack script to execute arbitrary commands on aWindows NT4 web server. While it is effective, the tester finds it tedious to perform extendedfunctions. On further research, the tester come across a perl script that runs the following msadcfunctions: Which exploit is indicated by this script?",A buffer overflow exploit,A chained exploit,A SQL injection exploit,A denial of service exploit,B
177,"From the two screenshots below, which of the following is occurring? ","10.0.0.253 is performing an IP scan against 10.0.0.0/24, 10.0.0.252 is performing a port scanagainst10.0.0.2.","10.0.0.253 is performing an IP scan against 10.0.0.2, 10.0.0.252 is performing a port scan against10.0.0.2.","10.0.0.2 is performing an IP scan against 10.0.0.0/24, 10.0.0.252 is performing a port scan against10.0.0.2.","10.0.0.252 is performing an IP scan against 10.0.0.2, 10.0.0.252 is performing a port scan against10.0.0.2.",A
178,What tool can crack Windows SMB passwords simply by listening to network traffic?,This is not possible,Netbus,NTFSDOS,L0phtcrack,D
179,What is the difference between the AES and RSA algorithms?,"Both are asymmetric algorithms, but RSA uses 1024-bit keys.","RSA is asymmetric, which is used to create a public/private key pair; AES is symmetric, which isused to encrypt data.","Both are symmetric algorithms, but AES uses 256-bit keys.","AES is asymmetric, which is used to create a public/private key pair; RSA is symmetric, which isused to encrypt data.",B
180,What port number is used by LDAP protocol?,110,389,464,445,B
181,Which of the following types of jailbreaking allows user-level access but does not allowiboot-level access?,Bootrom Exploit,iBoot Exploit,Sandbox Exploit,Userland Exploit,D
182,"Jack was attempting to fingerprint all machines in the network using the following Nmapsyntax:invictus@victim_server:~ nmap -T4 -0 10.10.0.0/24TCP/IP fingerprinting (for OS scan) xxxxxxx xxxxxx xxxxxxxxx. QUITTING!Obviously, it is not going through. What is the issue here?",OS Scan requires root privileges,The nmap syntax is wrong.,The outgoing TCP/IP fingerprinting is blocked by the host firewall,This is a common behavior for a corrupted nmap application,A
183,What did the following commands determine? ,That the Joe account has a SID of 500,These commands demonstrate that the guest account has NOT been disabled,These commands demonstrate that the guest account has been disabled,"That the true administrator is JoeE. Issued alone, these commands prove nothing",D
184,Todd has been asked by the security officer to purchase a counter-based authenticationsystem. Which of the following best describes this type of system?,A biometric system that bases authentication decisions on behavioral attributes.,A biometric system that bases authentication decisions on physical attributes.,An authentication system that creates one-time passwords that are encrypted with secret keys.,An authentication system that uses passphrases that are converted into virtual passwords.,C
185,WPA2 uses AES for wireless data encryption at which of the following encryption levels?,64 bit and CCMP,128 bit and CRC,128 bit and CCMP,128 bit and TKIP,C
186,"While examining audit logs, you discover that people are able to telnet into the SMTP serveron port 25. You would like to block this, though you do not see any evidence of an attack or otherwrong doing. However, you are concerned about affecting the normal functionality of the emailserver. From the following options choose how best you can achieve this objective?",Block port 25 at the firewall.,Shut off the SMTP service on the server.,Force all connections to use a username and password.,Switch from Windows Exchange to UNIX Sendmail.E. None of the above.,E
187,You are programming a buffer overflow exploit and you want to create a NOP sled of 200bytes in the program exploit.cWhat is the hexadecimal value of NOP instruction?,0x60,0x80,0x70,0x90,D
188,A virus that attempts to install itself inside the file it is infecting is called?,Tunneling virus,Cavity virus,Polymorphic virus,Stealth virus,B
189,Which NMAP command combination would let a tester scan every TCP port from a class Cnetwork that is blocking ICMP with fingerprinting and service detection?,NMAP -PN -A -O -sS 192.168.2.0/24,NMAP -P0 -A -O -p1-65535 192.168.0/24,NMAP -P0 -A -sT -p0-65535 192.168.0/16,NMAP -PN -O -sS -p 1-1024 192.168.0/8,B
190,"Port scanning can be used as part of a technical assessment to determine networkvulnerabilities. The TCP XMAS scan is used to identify listening ports on the targeted system.If a scanned port is open, what happens?",The port will ignore the packets.,The port will send an RST.,The port will send an ACK.,The port will send a SYN.,A
191,Which type of security feature stops vehicles from crashing through the doors of a building?,Turnstile,Bollards,Mantrap,Receptionist,B
192,Which of the following programs is usually targeted at Microsoft Office products?,Polymorphic virus,Multipart virus,Macro virus,Stealth virus,C
193,An engineer is learning to write exploits in C++ and is using the exploit tool Backtrack. Theengineer wants to compile the newest C++ exploit and name it calc.exe. Which command would theengineer use to accomplish this?,g++ hackersExploit.cpp -o calc.exe,g++ hackersExploit.py -o calc.exe,g++ -i hackersExploit.pl -o calc.exe,g++ --compile -i hackersExploit.cpp -o calc.exe,A
194,An Intrusion Detection System (IDS) has alerted the network administrator to a possiblymalicious sequence of packets sent to a Web server in the network's external DMZ. The packet trafficwas captured by the IDS and saved to a PCAP file.What type of network tool can be used to determine if these packets are genuinely malicious orsimply a false positive?,Protocol analyzer,Intrusion Prevention System (IPS),Network sniffer,Vulnerability scanner,A
195,A server has been infected by a certain type of Trojan. The hacker intended to utilize it tosend and host junk mails. What type of Trojan did the hacker use?,Turtle Trojans,Ransomware Trojans,Botnet Trojan,Banking Trojans,C
196,The security administrator of ABC needs to permit Internet traffic in the host 10.0.0.2 andUDP traffic in the host 10.0.0.3. Also he needs to permit all FTP traffic to the rest of the network anddeny all other traffic. After he applied his ACL configuration in the router nobody can access to theftp and the permitted hosts cannot access to the Internet. According to the next configuration whatis happening in the network? ,The ACL 110 needs to be changed to port 80,The ACL for FTP must be before the ACL 110,The first ACL is denying all TCP traffic and the other ACLs are being ignored by the router,The ACL 104 needs to be first because is UDP,C
197,What results will the following command yield: 'NMAP -sS -O -p 123-153 192.168.100.3'?,"A stealth scan, opening port 123 and 153","A stealth scan, checking open ports 123 to 153","A stealth scan, checking all open ports excluding ports 123 to 153","A stealth scan, determine operating system, and scanning ports 123 to 153",D
198,What does a type 3 code 13 represent? (Choose two.),Echo request,Destination unreachable,Network unreachable,Administratively prohibitedE. Port unreachableF. Time exceeded,B
199,Which access control mechanism allows for multiple systems to use a central authenticationserver (CAS) that permits users to authenticate once and gain access to multiple systems?,Role Based Access Control (RBAC),Discretionary Access Control (DAC),Windows authentication,Single sign-on,D
200,A hacker is attempting to see which ports have been left open on a network. Which NMAPswitch would the hacker use?,-sO,-sP,-sS,-sU,A
201,The following is a sample of output from a penetration tester's machine targeting a machinewith the IP address of 192.168.1.106: What is most likely taking place?,Ping sweep of the 192.168.1.106 network,Remote service brute force attempt,Port scan of 192.168.1.106,Denial of service attack on 192.168.1.106,B
202,"Company XYZ has asked you to assess the security of their perimeter email gateway. Fromyour office in New York, you craft a specially formatted email message and send it across the Internetto an employee of Company XYZ. The employee of Company XYZ is aware of your test.Your email message looks like this:From: jim_miller@companyxyz.comTo: michelle_saunders@companyxyz.comSubject: Test messageDate: 4/3/2017 14:37The employee of Company XYZ receives your email message. This proves that Company XYZ's emailgateway doesn't prevent what?",Email Phishing,Email Masquerading,Email Spoofing,Email Harvesting,C
203,Which of the following LM hashes represent a password of less than 8 characters? (Choosetwo.),BA810DBA98995F1817306D272A9441BB,44EFCE164AB921CQAAD3B435B51404EE,0182BD0BD4444BF836077A718CCDF409,CEC52EB9C8E3455DC2265B23734E0DACE. B757BF5C0D87772FAAD3B435B51404EEF. E52CAC67419A9A224A3B108F3FA6CB6D,B
204,A software tester is randomly generating invalid inputs in an attempt to crash the program.Which of the following is a software testing technique used to determine if a software programproperly handles a wide range of invalid input?,Mutating,Randomizing,Fuzzing,Bounding,C
205,SOAP services use which technology to format information?,SATA,PCI,XML,ISDN,C
206,Which type of sniffing technique is generally referred as MiTM attack? ,Password Sniffing,ARP Poisoning,Mac Flooding,DHCP Sniffing,B
207,"When security and confidentiality of data within the same LAN is of utmost priority, whichIPSec mode should you implement?",AH Tunnel mode,AH promiscuous,ESP transport mode,ESP confidential,C
208,You're doing an internal security audit and you want to find out what ports are open on allthe servers. What is the best way to find out?,Scan servers with Nmap,Physically go to each server,Scan servers with MBSA,Telent to every port on each server,A
209,"Session splicing is an IDS evasion technique in which an attacker delivers data in multiple,smallsized packets to the target computer, making it very difficult for an IDS to detect the attacksignatures.Which tool can be used to perform session splicing attacks?",Whisker,tcpsplice,Burp,Hydra,A
210,"A penetration tester was hired to perform a penetration test for a bank. The tester begansearching for IP ranges owned by the bank, performing lookups on the bank's DNS servers, readingnews articles online about the bank, watching what times the bank employees come into work andleave from work, searching the bank's job postings (paying special attention to IT related jobs), andvisiting the local dumpster for the bank's corporate office. What phase of the penetration test is thetester currently in?",Information reporting,Vulnerability assessment,Active information gathering,Passive information gathering,D
211,Advanced encryption standard is an algorithm used for which of the following?,Data integrity,Key discovery,Bulk data encryption,Key recovery,C
212,Which of the following tools can be used to perform a zone transfer?,NSLookup,Finger,Dig,Sam SpadeE. HostF. NetcatG. Neotrace,A
213,"By using a smart card and pin, you are using a two-factor authentication that satisfies",Something you know and something you are,Something you have and something you know,Something you have and something you are,Something you are and something you remember,B
214,Your business has decided to add credit card numbers to the data it backs up to tape. Whichof the following represents the best practice your business should observe?,Hire a security consultant to provide direction.,Do not back up cither the credit card numbers or then hashes.,Back up the hashes of the credit card numbers not the actual credit card numbers.,Encrypt backup tapes that are sent off-site.,A
215,"You are performing a penetration test. You achieved access via a buffer overflow exploit andyou proceed to find interesting data, such as files with usernames and passwords. You find a hiddenfolder that has the administrator's bank account password and login information for theadministrator's bitcoin account.What should you do?",Report immediately to the administrator,Do not report it and continue the penetration test.,Transfer money from the administrator's account to another account.,Do not transfer the money but steal the bitcoins.,A
216,"A company's policy requires employees to perform file transfers using protocols whichencrypt traffic. You suspect some employees are still performing file transfers using unencryptedprotocols because the employees do not like changes. You have positioned a network sniffer tocapture traffic from the laptops used by employees in the data ingest department. Using Wire sharkto examine the captured traffic, which command can be used as a display filter to find unencryptedfile transfers?",tcp.port != 21,tcp.port = 23,tcp.port ==21,tcp.port ==21 || tcp.port ==22,D
217,"Some clients of TPNQM SA were redirected to a malicious site when they tried to access theTPNQM main site. Bob, a system administrator at TPNQM SA, found that they were victims of DNSCache Poisoning.What should Bob recommend to deal with such a threat?",The use of security agents in clients' computers,The use of DNSSEC,The use of double-factor authentication,Client awareness,B
218,"During a security audit of IT processes, an IS auditor found that there were no documentedsecurity procedures. What should the IS auditor do?",Identify and evaluate existing practices,Create a procedures document,Conduct compliance testing,Terminate the audit,A
219,"A company's Web development team has become aware of a certain type of securityvulnerability in their Web software. To mitigate the possibility of this vulnerability being exploited,the team wants to modify the software requirements to disallow users from entering HTML as inputinto their Web application.What kind of Web application vulnerability likely exists in their software?",Cross-site scripting vulnerability,Cross-site Request Forgery vulnerability,SQL injection vulnerability,Web site defacement vulnerability,A
220,Which of the following defines the role of a root Certificate Authority (CA) in a Public KeyInfrastructure (PKI)?,The root CA is the recovery agent used to encrypt data when a user's certificate is lost.,The root CA stores the user's hash value for safekeeping.,The CA is the trusted root that issues certificates.,The root CA is used to encrypt email messages to prevent unintended disclosure of data.,C
221,Which service in a PKI will vouch for the identity of an individual or company?,KDC,CA,CR,CBC,B
222,"It is a vulnerability in GNU's bash shell, discovered in September of 2014, that givesattackers access to run remote commands on a vulnerable system. The malicious software can takecontrol of an infected machine, launch denial-of-service attacks to disrupt websites, and scan forother vulnerable devices (including routers).Which of the following vulnerabilities is being described?",Shellshock,Rootshock,Rootshell,Shellbash,A
223,"What is the term coined for logging, recording and resolving events in a company?",Internal Procedure,Security Policy,Incident Management Process,Metrics,C
224,"Windows file servers commonly hold sensitive files, databases, passwords and more. Whichof the following choices would be a common vulnerability that usually exposes them?",Cross-site scripting,SQL injection,Missing patches,CRLF injection,C
225,Study the following log extract and identify the attack.,Hexcode Attack,Cross Site Scripting,Multiple Domain Traversal Attack,Unicode Directory Traversal Attack,D
226,Password cracking programs reverse the hashing process to recover passwords.(True/False.),True,False,,,B
227,What does a firewall check to prevent particular ports and applications from getting packetsinto an organization?,Transport layer port numbers and application layer headers,Presentation layer headers and the session layer port numbers,Network layer headers and the session layer port numbers,Application layer port numbers and the transport layer headers,A
228,While reviewing the result of scanning run against a target network you come across thefollowing:Which among the following can be used to get this output?,A Bo2k system query.,nmap protocol scan,A sniffer,An SNMP walk,D
229,"_________ is a tool that can hide processes from the process list, can hide files, registryentries, and intercept keystrokes.",Trojan,RootKit,DoS tool,ScannerE. Backdoor,B
230,Which of the following is a client-server tool utilized to evade firewall inspection?,tcp-over-dns,kismet,nikto,hping,A
231,Which of the following scanning tools is specifically designed to find potential exploits inMicrosoft Windows products?,Microsoft Security Baseline Analyzer,Retina,Core Impact,Microsoft Baseline Security Analyzer,D
232,Which set of access control solutions implements two-factor authentication?,USB token and PIN,Fingerprint scanner and retina scanner,Password and PIN,Account and password,A
233,An attacker is using nmap to do a ping sweep and a port scanning in a subnet of 254addresses.In which order should he perform these steps?,The sequence does not matter. Both steps have to be performed against all hosts.,First the port scan to identify interesting services and then the ping sweep to find hostsresponding to icmp echo requests.,First the ping sweep to identify live hosts and then the port scan on the live hosts. This way hesaves time.,The port scan alone is adequate. This way he saves time.,C
234,"Which type of intrusion detection system can monitor and alert on attacks, but cannot stopthem?",Detective,Passive,Intuitive,Reactive,B
235,"In the field of cryptanalysis, what is meant by a ""rubber-hose"" attack?",Attempting to decrypt cipher text by making logical assumptions about the contents of the originalplain text.,Extraction of cryptographic secrets through coercion or torture.,Forcing the targeted key stream through a hardware-accelerated device such as an ASIC.,A backdoor placed into a cryptographic algorithm by its creator.,B
236,An attacker has been successfully modifying the purchase price of items purchased on thecompany's web site.The security administrators verify the web server and Oracle database have not been compromiseddirectly.They have also verified the Intrusion Detection System (IDS) logs and found no attacks that couldhave caused this. What is the mostly likely way the attacker has been able to modify the purchaseprice?,By using SQL injection,By changing hidden form values,By using cross site scripting,By utilizing a buffer overflow attack,B
237,Which of the following is an extremely common IDS evasion technique in the web world?,unicode characters,spyware,port knocking,subnetting,A
238,"The configuration allows a wired or wireless network interface controller to pass all traffic itreceives to the central processing unit (CPU), rather than passing only the frames that the controlleris intended to receive.Which of the following is being described?",promiscuous mode,port forwarding,multi-cast mode,WEM,A
239,"Bob, a system administrator at TPNQM SA, concluded one day that a DMZ is not needed ifhe properly configures the firewall to allow access just to servers/ports, which can have directinternet access, and block the access to workstations.Bob also concluded that DMZ makes sense just when a stateful firewall is available, which is not thecase of TPNQM SA.In this context, what can you say?",Bob can be right since DMZ does not make sense when combined with stateless firewalls,"Bob is partially right. He does not need to separate networks if he can create rules by destinationIPs, one by one",Bob is totally wrong. DMZ is always relevant when the company has internet servers andworkstations,Bob is partially right. DMZ does not make sense when a stateless firewall is available,C
240,"Which address translation scheme would allow a single public IP address to alwayscorrespond to a single machine on an internal network, allowing ""server publishing""?",Overloading Port Address Translation,Dynamic Port Address Translation,Dynamic Network Address Translation,Static Network Address Translation,D
241,Which of the following is a passive wireless packet analyzer that works on Linux-basedsystems?,Burp Suite,OpenVAS,tshark,Kismet,D
242,Which of the following is the greatest threat posed by backups?,A backup is the source of Malware or illicit information.,A backup is unavailable during disaster recovery.,A backup is incomplete because no verification was performed.,An un-encrypted backup can be misplaced or stolen.,D
243,Which Type of scan sends a packets with no flags set?,Open Scan,Null Scan,Xmas Scan,Half-Open Scan,B
244,"Ricardo wants to send secret messages to a competitor company. To secure thesemessages, he uses a technique of hiding a secret message within an ordinary message. The techniqueprovides 'security through obscurity'.What technique is Ricardo using?",Steganography,Public-key cryptography,RSA algorithm,Encryption,A
245,Employees in a company are no longer able to access Internet web sites on their computers.The network administrator is able to successfully ping IP address of web servers on the Internet andis able to open web sites by using an IP address in place of the URL. The administrator runs thenslookup command for www.eccouncil.org and receives an error message stating there is noresponse from the server. What should the administrator do next?,Configure the firewall to allow traffic on TCP ports 53 and UDP port 53.,Configure the firewall to allow traffic on TCP ports 80 and UDP port 443.,Configure the firewall to allow traffic on TCP port 53.,Configure the firewall to allow traffic on TCP port 8080.,A
246,Which of the following BEST describes the mechanism of a Boot Sector Virus?,Moves the MBR to another location on the hard disk and copies itself to the original location ofthe MBR,Moves the MBR to another location on the RAM and copies itself to the original location of theMBR,Overwrites the original MBR and only executes the new virus code,Modifies directory table entries so that directory entries point to the virus code instead of theactual program,A
247,You are looking for SQL injection vulnerability by sending a special character to webapplications. Which of the following is the most useful for quick validation?,Double quotation,Backslash,Semicolon,Single quotation,D
248,Why should the security analyst disable/remove unnecessary ISAPI filters?,To defend against social engineering attacks,To defend against webserver attacks,To defend against jailbreaking,To defend against wireless attacks,B
249,When a security analyst prepares for the formal security assessment - what of the followingshould be done in order to determine inconsistencies in the secure assets database and verify thatsystem is compliant to the minimum security baseline?,Data items and vulnerability scanning,Interviewing employees and network engineers,Reviewing the firewalls configuration,Source code review,A
250,"It is a regulation that has a set of guidelines, which should be adhered to by anyone whohandles any electronic medical data. These guidelines stipulate that all medical practices must ensurethat all necessary measures are in place while saving, accessing, and sharing any electronic medicaldata to keep patient data secure.Which of the following regulations best matches the description?",HIPAA,ISO/IEC 27002,COBIT,FISMA,A
251,Cross-site request forgery involves:,A request sent by a malicious user from a browser to a server,Modification of a request by a proxy between client and server,A browser making a request to a server without the user's knowledge,A server making a request to another server without the user's knowledge,C
252,Which regulation defines security and privacy controls for Federal information systems andorganizations?,NIST-800-53,PCI-DSS,EU Safe Harbor,HIPAA,A
253,"An ethical hacker for a large security research firm performs penetration tests, vulnerabilitytests, and risk assessments. A friend recently started a company and asks the hacker to perform apenetration test and vulnerability assessment of the new company as a favor. What should thehacker's next step be before starting work on this job?",Start by foot printing the network and mapping out a plan of attack.,Ask the employer for authorization to perform the work outside the company.,Begin the reconnaissance phase with passive information gathering and then move into activeinformation gathering.,Use social engineering techniques on the friend's employees to help identify areas that may besusceptible to attack.,B
254,"Chandler works as a pen-tester in an IT-firm in New York. As a part of detecting viruses inthe systems, he uses a detection method where the anti-virus executes the malicious codes on avirtual machine to simulate CPU and memory activities.Which type of virus detection method did Chandler use in this context?",Heuristic Analysis,Code Emulation,Integrity checking,Scanning,B
255,"Bob, your senior colleague, has sent you a mail regarding a deal with one of the clients. Youare requested to accept the offer and you oblige. After 2 days. Bob denies that he had ever sent amail. What do you want to""""know"""" to prove yourself that it was Bob who had send a mail?",Authentication,Confidentiality,Integrity,Non-Repudiation,D
256,Which type of scan is used on the eye to measure the layer of blood vessels?,Facial recognition scan,Retinal scan,Iris scan,Signature kinetics scan,B
257,"A new wireless client that is 802.11 compliant cannot connect to a wireless network giventhat the client can see the network and it has compatible hardware and software installed. Uponfurther tests and investigation, it was found out that the Wireless Access Point (WAP) was notresponding to the association requests being sent by the wireless client. What MOST likely is theissue on this scenario?",The client cannot see the SSID of the wireless network,The WAP does not recognize the client's MAC address.,The wireless client is not configured to use DHCP.,Client is configured for the wrong channel,B
258,Windows LAN Manager (LM) hashes are known to be weak.Which of the following are known weaknesses of LM? (Choose three.),Converts passwords to uppercase.,Hashes are sent in clear text over the network.,Makes use of only 32-bit encryption.,Effective length is 7 characters.,A
259,Which element of Public Key Infrastructure (PKI) verifies the applicant?,Certificate authority,Validation authority,Registration authority,Verification authority,C
260,"Which of the following algorithms can be used to guarantee the integrity of messages beingsent, in transit, or stored?",symmetric algorithms,asymmetric algorithms,hashing algorithms,integrity algorithms,C
261,"It is a widely used standard for message logging. It permits separation of the software thatgenerates messages, the system that stores them, and the software that reports and analyzes them.This protocol is specifically designed for transporting event messages. Which of the following is beingdescribed?",SNMP,ICMP,SYSLOG,SMS,C
262,"When tuning security alerts, what is the best approach?",Tune to avoid False positives and False Negatives,Rise False positives Rise False Negatives,Decrease the false positives,Decrease False negatives,A
263,What is one of the advantages of using both symmetric and asymmetric cryptography inSSL/TLS?,Symmetric algorithms such as AES provide a failsafe when asymmetric methods fail.,"Asymmetric cryptography is computationally expensive in comparison. However, it is well-suitedto securely negotiate keys for use with symmetric cryptography.",Symmetric encryption allows the server to securely transmit the session keys out-of-band.,Supporting both types of algorithms allows less-powerful devices such as mobile phones to usesymmetric encryption instead.,D
264,A newly discovered flaw in a software application would be considered which kind ofsecurity vulnerability?,Input validation flaw,HTTP header injection vulnerability,0-day vulnerability,Time-to-check to time-to-use flaw,C
265,"When you are getting information about a web server, it is very important to know the HTTPMethods (GET, POST, HEAD, PUT, DELETE, TRACE) that are available because there are two criticalmethods (PUT and DELETE). PUT can upload a file to the server and DELETE can delete a file from theserver. You can detect all these methods (GET, POST, HEAD, PUT, DELETE, TRACE) using NMAP scriptengine.What nmap script will help you with this task?",http-methods,http enum,http-headers,http-git,A
266,Which of the following options represents a conceptual characteristic of an anomaly-basedIDS over a signature-based IDS?,Produces less false positives,Can identify unknown attacks,Requires vendor updates for a new threat,Cannot deal with encrypted network traffic,B
267,TCP/IP stack fingerprinting is the passive collection of configuration attributes from aremote device during standard layer 4 network communications. Which of the following tools can beused for passive OS fingerprinting?,nmap,ping,tracert,tcpdump,D
268,Which of the following is considered the best way to protect Personally IdentifiableInformation (PII) from Web application vulnerabilities?,Use cryptographic storage to store all PII,Use encrypted communications protocols to transmit PII,Use full disk encryption on all hard drives to protect PII,Use a security token to log into all Web applications that use PII,A
269,"What network security concept requires multiple layers of security controls to be placedthroughout an IT infrastructure, which improves the security posture of an organization to defendagainst malicious attacks or potential vulnerabilities?What kind of Web application vulnerability likely exists in their software?",Host-Based Intrusion Detection System,Security through obscurity,Defense in depth,Network-Based Intrusion Detection System,C
270,Which of the following levels of algorithms does Public Key Infrastructure (PKI) use?,RSA 1024 bit strength,AES 1024 bit strength,RSA 512 bit strength,AES 512 bit strength,A
271,A hacker is an intelligent individual with excellent computer skills and the ability to explore acomputer's software and hardware without the owner's permission. Their intention can either be tosimply gain knowledge or to illegally make changes. Which of the following class of hacker refers toan individual who works both offensively and defensively at various times?,Suicide Hacker,Black Hat,White Hat,Gray Hat,D
272,Fingerprinting VPN firewalls is possible with which of the following tools?,Angry IP,Nikto,Ike-scan,Arp-scan,C
273,"What is a ""Collision attack"" in cryptography?",Collision attacks try to find two inputs producing the same hash.,"Collision attacks try to break the hash into two parts, with the same bytes in each part to get theprivate key.",Collision attacks try to get the public key.,Collision attacks try to break the hash into three parts to get the plaintext value.,A
